Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1880,-0.38,-0.53,-0.25,-0.32,-0.08,-0.18,-0.21,-0.28,-0.25,-0.33,-0.44,-0.42,-0.3,,,-0.21,-0.22,-0.34
1881,-0.32,-0.24,-0.05,-0.01,0.02,-0.35,0.06,-0.07,-0.29,-0.45,-0.38,-0.25,-0.2,-0.21,-0.33,-0.02,-0.12,-0.37
1882,0.24,0.2,0.0,-0.34,-0.26,-0.32,-0.3,-0.16,-0.26,-0.54,-0.34,-0.7,-0.23,-0.19,0.06,-0.2,-0.26,-0.38
1883,-0.59,-0.67,-0.16,-0.3,-0.26,-0.12,-0.07,-0.24,-0.35,-0.17,-0.45,-0.16,-0.29,-0.34,-0.65,-0.24,-0.14,-0.32
1884,-0.18,-0.12,-0.65,-0.6,-0.37,-0.42,-0.42,-0.52,-0.46,-0.46,-0.59,-0.48,-0.44,-0.41,-0.15,-0.54,-0.45,-0.5
1885,-1.02,-0.47,-0.25,-0.5,-0.6,-0.47,-0.36,-0.43,-0.41,-0.38,-0.39,-0.12,-0.45,-0.48,-0.66,-0.45,-0.42,-0.39
1886,-0.76,-0.85,-0.72,-0.38,-0.35,-0.39,-0.16,-0.44,-0.34,-0.32,-0.41,-0.22,-0.45,-0.44,-0.57,-0.48,-0.33,-0.36
1887,-1.1,-0.72,-0.45,-0.4,-0.28,-0.22,-0.26,-0.57,-0.23,-0.5,-0.27,-0.45,-0.45,-0.43,-0.68,-0.38,-0.35,-0.33
1888,-0.5,-0.63,-0.65,-0.24,-0.18,-0.05,-0.03,-0.23,-0.21,-0.05,-0.03,-0.26,-0.25,-0.27,-0.52,-0.36,-0.1,-0.1
1889,-0.3,0.27,-0.04,0.14,-0.06,-0.09,-0.09,-0.22,-0.32,-0.43,-0.63,-0.57,-0.19,-0.17,-0.1,0.01,-0.13,-0.46
1890,-0.66,-0.59,-0.49,-0.27,-0.37,-0.18,-0.25,-0.41,-0.37,-0.11,-0.64,-0.49,-0.4,-0.41,-0.61,-0.38,-0.28,-0.37
1891,-0.47,-0.68,-0.17,-0.37,-0.16,-0.14,-0.14,-0.14,-0.09,-0.29,-0.53,-0.03,-0.27,-0.31,-0.55,-0.23,-0.14,-0.31
1892,-0.51,-0.19,-0.67,-0.46,-0.24,-0.06,-0.39,-0.34,-0.22,-0.28,-0.83,-0.68,-0.4,-0.35,-0.24,-0.46,-0.26,-0.44
1893,-1.51,-0.97,-0.33,-0.31,-0.44,-0.19,-0.15,-0.35,-0.29,-0.28,-0.34,-0.61,-0.48,-0.49,-1.05,-0.36,-0.23,-0.31
1894,-0.93,-0.44,-0.23,-0.55,-0.27,-0.42,-0.22,-0.28,-0.34,-0.28,-0.49,-0.37,-0.4,-0.42,-0.66,-0.35,-0.31,-0.37
1895,-0.72,-0.82,-0.51,-0.2,-0.32,-0.22,-0.21,-0.29,-0.07,-0.1,-0.15,-0.25,-0.32,-0.33,-0.64,-0.34,-0.24,-0.11
1896,-0.39,-0.2,-0.51,-0.63,-0.19,0.05,-0.03,-0.13,-0.15,0.02,-0.23,-0.24,-0.22,-0.22,-0.28,-0.44,-0.04,-0.12
1897,-0.42,-0.44,-0.42,-0.07,0.11,-0.09,0.02,-0.08,-0.08,-0.18,-0.27,-0.3,-0.19,-0.18,-0.37,-0.13,-0.05,-0.18
1898,0.02,-0.47,-0.82,-0.3,-0.3,-0.11,-0.14,-0.2,-0.2,-0.39,-0.53,-0.29,-0.31,-0.31,-0.25,-0.47,-0.15,-0.37
1899,-0.15,-0.66,-0.6,-0.25,-0.27,-0.37,-0.19,-0.08,-0.07,0.03,0.33,-0.5,-0.23,-0.21,-0.37,-0.37,-0.21,0.1
1900,-0.64,-0.17,0.03,-0.12,-0.06,-0.13,-0.14,-0.1,-0.05,0.21,-0.14,-0.05,-0.11,-0.15,-0.44,-0.05,-0.12,0.01
1901,-0.36,-0.11,0.25,0.08,-0.13,-0.01,-0.01,-0.18,-0.29,-0.34,-0.21,-0.41,-0.14,-0.11,-0.17,0.07,-0.06,-0.28
1902,-0.15,-0.04,-0.39,-0.39,-0.41,-0.41,-0.34,-0.31,-0.35,-0.34,-0.48,-0.62,-0.35,-0.34,-0.2,-0.4,-0.35,-0.39
1903,-0.25,0.1,-0.18,-0.48,-0.45,-0.47,-0.45,-0.57,-0.51,-0.47,-0.42,-0.59,-0.4,-0.4,-0.26,-0.37,-0.5,-0.47
1904,-0.78,-0.63,-0.48,-0.52,-0.46,-0.5,-0.61,-0.56,-0.65,-0.4,-0.1,-0.36,-0.5,-0.52,-0.67,-0.49,-0.56,-0.39
1905,-0.43,-0.84,-0.24,-0.47,-0.31,-0.29,-0.23,-0.25,-0.21,-0.28,0.07,-0.19,-0.31,-0.32,-0.54,-0.34,-0.26,-0.14
1906,-0.57,-0.54,-0.22,0.02,-0.26,-0.12,-0.28,-0.18,-0.25,-0.19,-0.41,0.01,-0.25,-0.27,-0.43,-0.15,-0.19,-0.29
1907,-0.6,-0.74,-0.33,-0.47,-0.6,-0.52,-0.42,-0.4,-0.41,-0.2,-0.57,-0.58,-0.49,-0.44,-0.44,-0.46,-0.45,-0.39
1908,-0.56,-0.29,-0.72,-0.5,-0.31,-0.32,-0.37,-0.59,-0.33,-0.46,-0.64,-0.57,-0.47,-0.47,-0.48,-0.51,-0.43,-0.48
1909,-0.95,-0.47,-0.68,-0.67,-0.51,-0.54,-0.47,-0.37,-0.39,-0.36,-0.13,-0.59,-0.51,-0.51,-0.66,-0.62,-0.46,-0.29
1910,-0.37,-0.4,-0.52,-0.43,-0.32,-0.47,-0.4,-0.41,-0.44,-0.32,-0.62,-0.82,-0.46,-0.44,-0.45,-0.42,-0.43,-0.46
1911,-0.72,-0.6,-0.65,-0.48,-0.47,-0.35,-0.4,-0.44,-0.39,-0.2,-0.21,-0.31,-0.44,-0.48,-0.71,-0.53,-0.4,-0.27
1912,-0.37,-0.18,-0.62,-0.18,-0.14,-0.17,-0.54,-0.79,-0.82,-0.86,-0.53,-0.59,-0.48,-0.46,-0.29,-0.31,-0.5,-0.74
1913,-0.57,-0.66,-0.49,-0.52,-0.56,-0.52,-0.53,-0.48,-0.44,-0.4,-0.15,0.1,-0.44,-0.49,-0.61,-0.52,-0.51,-0.33
1914,0.15,-0.12,-0.37,-0.4,-0.21,-0.25,-0.35,-0.29,-0.31,-0.02,-0.24,-0.06,-0.21,-0.19,0.04,-0.33,-0.3,-0.19
1915,-0.28,-0.1,-0.25,0.06,-0.01,-0.14,-0.11,-0.17,-0.22,-0.28,-0.04,-0.25,-0.15,-0.13,-0.15,-0.07,-0.14,-0.18
1916,-0.12,-0.18,-0.4,-0.36,-0.39,-0.52,-0.35,-0.38,-0.5,-0.36,-0.48,-1.14,-0.43,-0.36,-0.18,-0.39,-0.42,-0.45
1917,-0.54,-0.69,-0.76,-0.66,-0.75,-0.51,-0.34,-0.41,-0.33,-0.64,-0.34,-1.08,-0.59,-0.59,-0.79,-0.72,-0.42,-0.43
1918,-0.71,-0.47,-0.27,-0.61,-0.51,-0.47,-0.35,-0.38,-0.27,-0.06,-0.23,-0.57,-0.41,-0.45,-0.75,-0.46,-0.4,-0.18
1919,-0.39,-0.41,-0.4,-0.26,-0.43,-0.41,-0.35,-0.32,-0.21,-0.1,-0.48,-0.57,-0.36,-0.36,-0.46,-0.36,-0.36,-0.26
1920,-0.17,-0.3,-0.01,-0.22,-0.23,-0.27,-0.26,-0.33,-0.37,-0.41,-0.47,-0.73,-0.31,-0.3,-0.34,-0.15,-0.29,-0.41
1921,0.17,-0.11,-0.12,-0.18,-0.26,-0.16,-0.05,-0.31,-0.19,-0.01,-0.12,-0.14,-0.12,-0.17,-0.22,-0.19,-0.17,-0.11
1922,-0.4,-0.64,-0.12,-0.17,-0.19,-0.17,-0.29,-0.38,-0.43,-0.31,-0.13,-0.17,-0.28,-0.28,-0.39,-0.16,-0.28,-0.29
1923,-0.18,-0.48,-0.41,-0.54,-0.4,-0.26,-0.31,-0.29,-0.18,0.05,0.15,0.1,-0.23,-0.25,-0.28,-0.45,-0.29,0.01
1924,-0.28,-0.21,0.02,-0.27,-0.07,-0.21,-0.23,-0.28,-0.23,-0.25,0.11,-0.37,-0.19,-0.15,-0.13,-0.11,-0.24,-0.12
1925,-0.28,-0.37,-0.23,-0.17,-0.23,-0.27,-0.27,-0.21,-0.06,-0.1,0.23,0.22,-0.15,-0.2,-0.34,-0.21,-0.25,0.02
1926,0.53,0.18,0.38,-0.14,-0.23,-0.21,-0.2,-0.07,-0.04,0.06,0.16,-0.31,0.01,0.05,0.31,0.0,-0.16,0.06
1927,-0.29,-0.08,-0.47,-0.27,-0.15,-0.15,-0.09,-0.16,0.02,0.24,0.1,-0.37,-0.14,-0.13,-0.23,-0.3,-0.13,0.12
1928,0.25,0.08,-0.23,-0.33,-0.18,-0.33,-0.12,-0.2,-0.17,-0.09,0.04,-0.04,-0.11,-0.14,-0.01,-0.25,-0.21,-0.07
1929,-0.56,-0.8,-0.2,-0.36,-0.28,-0.4,-0.37,-0.21,-0.21,-0.02,-0.03,-0.66,-0.34,-0.29,-0.47,-0.28,-0.33,-0.09
1930,-0.13,-0.2,0.11,-0.16,-0.21,-0.13,-0.04,0.01,-0.03,0.02,0.44,0.08,-0.02,-0.08,-0.33,-0.09,-0.05,0.14
1931,0.0,-0.24,-0.07,-0.21,-0.15,0.14,0.07,0.08,0.17,0.36,0.24,0.09,0.04,0.04,-0.05,-0.15,0.1,0.26
1932,0.37,-0.2,-0.21,0.09,-0.11,-0.15,-0.16,-0.09,0.1,0.13,-0.33,-0.23,-0.07,-0.04,0.09,-0.08,-0.13,-0.04
1933,-0.2,-0.31,-0.32,-0.18,-0.27,-0.32,-0.15,-0.15,-0.29,-0.18,-0.25,-0.56,-0.26,-0.24,-0.24,-0.25,-0.21,-0.24
1934,-0.15,0.32,-0.28,-0.29,0.07,-0.02,-0.05,-0.11,-0.15,0.12,0.26,0.17,-0.01,-0.07,-0.13,-0.17,-0.06,0.08
1935,-0.41,0.56,0.02,-0.37,-0.3,-0.16,-0.05,-0.07,-0.07,0.1,-0.32,-0.18,-0.1,-0.08,0.1,-0.21,-0.09,-0.1
1936,-0.29,-0.51,-0.13,-0.07,-0.01,0.03,0.07,0.01,0.05,0.07,0.14,0.13,-0.04,-0.07,-0.33,-0.07,0.04,0.09
1937,0.08,0.24,-0.23,-0.07,0.11,0.14,0.14,0.15,0.28,0.32,0.23,-0.01,0.11,0.13,0.15,-0.07,0.14,0.28
1938,0.35,0.28,0.34,0.31,0.02,-0.08,-0.03,0.07,0.14,0.31,0.3,-0.13,0.16,0.17,0.2,0.22,-0.01,0.25
1939,0.02,-0.02,-0.25,-0.09,0.0,-0.01,0.04,0.08,0.12,0.06,0.24,0.77,0.08,0.0,-0.04,-0.11,0.04,0.14
1940,-0.11,0.13,0.02,0.27,0.15,0.15,0.14,0.06,0.25,0.27,0.29,0.35,0.16,0.2,0.26,0.15,0.12,0.27
1941,0.17,0.46,0.12,0.12,0.22,0.2,0.24,0.18,0.09,0.49,0.17,0.18,0.22,0.23,0.32,0.15,0.21,0.25
1942,0.39,-0.1,-0.01,0.08,0.15,0.09,-0.02,-0.09,0.1,0.27,0.25,0.26,0.11,0.11,0.16,0.07,-0.01,0.21
1943,-0.1,0.38,-0.01,0.3,0.22,-0.08,-0.03,0.09,0.13,0.46,0.36,0.37,0.17,0.16,0.18,0.17,0.0,0.32
1944,0.62,0.43,0.3,0.18,0.23,0.16,0.14,0.17,0.36,0.44,0.19,-0.01,0.27,0.3,0.47,0.24,0.16,0.33
1945,0.11,-0.06,0.1,0.29,0.08,0.08,0.07,0.28,0.2,0.24,0.09,-0.21,0.11,0.12,0.02,0.16,0.14,0.18
1946,0.34,0.09,0.12,0.32,0.03,-0.05,-0.04,-0.1,-0.03,0.02,0.07,-0.45,0.03,0.05,0.07,0.16,-0.06,0.02
1947,-0.04,-0.03,0.29,0.23,0.07,0.01,-0.03,-0.04,-0.01,0.41,0.19,-0.05,0.08,0.05,-0.18,0.19,-0.02,0.19
1948,0.3,-0.15,-0.27,-0.03,0.17,0.04,0.01,0.03,-0.03,0.08,0.03,-0.39,-0.02,0.01,0.04,-0.04,0.03,0.03
1949,0.22,-0.09,0.04,-0.03,0.0,-0.2,-0.11,-0.05,-0.1,0.07,0.05,-0.14,-0.03,-0.05,-0.09,0.01,-0.12,0.01
1950,-0.29,-0.27,0.06,-0.22,-0.05,-0.07,-0.19,-0.2,-0.09,-0.06,-0.34,-0.13,-0.15,-0.15,-0.23,-0.07,-0.15,-0.16
1951,-0.36,-0.51,-0.18,0.06,0.17,-0.02,0.08,0.22,0.33,0.28,0.08,0.38,0.04,0.0,-0.33,0.02,0.09,0.23
1952,0.17,0.17,-0.22,0.17,0.15,0.15,0.14,0.07,0.14,-0.01,-0.21,0.01,0.06,0.09,0.24,0.04,0.12,-0.03
1953,0.24,0.37,0.25,0.41,0.25,0.25,0.21,0.18,0.17,0.27,0.09,0.23,0.24,0.23,0.21,0.3,0.22,0.18
1954,-0.24,0.0,-0.17,-0.01,-0.07,-0.04,-0.11,-0.01,0.09,0.13,0.34,-0.11,-0.02,0.01,-0.01,-0.08,-0.05,0.19
1955,0.43,-0.12,-0.43,-0.24,-0.13,-0.1,-0.05,0.07,-0.01,0.12,-0.34,-0.28,-0.09,-0.08,0.06,-0.27,-0.03,-0.08
1956,-0.04,-0.32,-0.23,-0.26,-0.3,-0.2,-0.19,-0.28,-0.32,-0.28,-0.26,-0.11,-0.23,-0.25,-0.21,-0.27,-0.22,-0.29
1957,-0.13,-0.05,-0.1,-0.09,-0.05,0.12,0.11,0.16,0.12,0.06,0.12,0.24,0.04,0.01,-0.1,-0.08,0.13,0.1
1958,0.69,0.28,0.16,0.03,0.12,0.05,0.05,0.13,0.07,0.08,0.03,0.18,0.15,0.16,0.4,0.1,0.07,0.06
1959,0.24,0.17,0.33,0.22,0.04,0.14,0.05,0.1,0.14,-0.04,0.03,0.1,0.13,0.13,0.19,0.2,0.09,0.04
1960,0.15,0.42,-0.4,-0.13,0.03,0.19,0.09,0.11,0.12,0.05,-0.08,0.4,0.08,0.05,0.22,-0.16,0.13,0.03
1961,0.17,0.29,0.22,0.14,0.07,0.18,0.06,0.05,-0.03,-0.04,0.07,-0.17,0.09,0.13,0.29,0.14,0.1,0.0
1962,0.27,0.36,0.3,0.22,0.02,-0.13,0.1,0.04,-0.02,0.13,0.12,0.1,0.13,0.1,0.16,0.18,0.0,0.08
1963,0.08,0.5,-0.11,0.04,-0.05,-0.04,0.1,0.14,0.13,0.42,0.43,0.03,0.14,0.15,0.23,-0.04,0.07,0.33
1964,-0.04,-0.02,-0.32,-0.3,-0.1,-0.09,-0.13,-0.23,-0.28,-0.31,-0.21,-0.27,-0.19,-0.17,-0.01,-0.24,-0.15,-0.27
1965,-0.02,-0.37,-0.09,-0.26,-0.14,-0.2,-0.18,-0.2,-0.2,-0.02,0.04,-0.08,-0.14,-0.16,-0.22,-0.16,-0.2,-0.06
1966,-0.25,0.03,0.0,-0.22,-0.05,0.06,0.11,0.14,0.07,-0.1,0.02,-0.03,-0.02,-0.02,-0.1,-0.09,0.1,-0.01
1967,-0.18,-0.37,0.23,0.05,0.21,-0.06,0.04,0.06,-0.02,0.3,0.04,0.02,0.03,0.02,-0.19,0.16,0.02,0.1
1968,-0.29,-0.16,0.44,-0.01,-0.06,-0.05,-0.08,-0.08,-0.05,-0.01,-0.22,-0.33,-0.07,-0.04,-0.14,0.12,-0.07,-0.09
1969,-0.43,-0.46,-0.2,0.03,0.11,-0.04,0.06,0.04,0.04,0.03,0.14,0.31,-0.03,-0.08,-0.41,-0.02,0.02,0.07
1970,-0.03,0.27,-0.07,-0.02,0.0,0.02,-0.04,-0.05,-0.05,-0.2,0.01,-0.31,-0.04,0.01,0.18,-0.03,-0.03,-0.08
1971,-0.15,-0.21,-0.28,-0.2,-0.12,-0.14,-0.13,-0.16,-0.14,-0.16,-0.02,-0.14,-0.15,-0.17,-0.22,-0.2,-0.14,-0.11
1972,-0.54,-0.52,0.01,-0.12,-0.15,-0.1,-0.05,-0.09,-0.26,-0.04,-0.19,-0.05,-0.18,-0.18,-0.4,-0.09,-0.08,-0.17
1973,0.15,0.43,0.31,0.18,0.09,0.16,0.04,0.03,-0.09,-0.08,-0.1,-0.04,0.09,0.09,0.18,0.2,0.08,-0.09
1974,-0.26,-0.35,0.03,-0.1,-0.19,-0.18,-0.12,-0.11,-0.16,-0.23,-0.21,-0.27,-0.18,-0.16,-0.22,-0.09,-0.14,-0.2
1975,0.16,0.09,0.1,0.05,-0.02,-0.08,-0.06,-0.13,-0.08,-0.18,-0.3,-0.22,-0.05,-0.06,0.0,0.05,-0.09,-0.18
1976,0.05,-0.12,-0.31,0.02,-0.26,-0.2,-0.26,-0.21,-0.12,-0.51,-0.32,-0.25,-0.21,-0.2,-0.1,-0.18,-0.22,-0.32
1977,-0.16,0.11,0.26,0.25,0.23,0.22,0.08,0.02,0.13,-0.02,0.27,0.02,0.12,0.1,-0.1,0.25,0.11,0.13
1978,0.16,0.04,0.21,0.07,-0.06,-0.14,-0.07,-0.14,-0.01,0.0,0.16,0.02,0.02,0.02,0.07,0.07,-0.12,0.05
1979,-0.05,-0.36,0.18,-0.17,0.01,0.08,0.05,0.04,0.19,0.23,0.24,0.54,0.08,0.04,-0.13,0.01,0.06,0.22
1980,0.21,0.4,0.07,0.15,0.26,0.19,0.13,0.09,0.1,0.12,0.2,0.08,0.17,0.21,0.38,0.16,0.14,0.14
1981,0.8,0.62,0.68,0.39,0.18,0.27,0.09,0.16,0.14,0.23,0.35,0.54,0.37,0.33,0.5,0.42,0.17,0.24
1982,-0.14,0.16,0.06,0.17,0.09,0.01,0.04,-0.07,0.06,0.0,-0.11,0.38,0.05,0.07,0.19,0.1,-0.01,-0.02
1983,0.55,0.35,0.42,0.07,0.05,0.1,0.2,0.25,0.25,0.12,0.49,0.11,0.25,0.27,0.42,0.18,0.18,0.29
1984,0.33,0.02,0.18,-0.07,0.23,0.09,0.08,0.05,-0.04,0.08,-0.1,-0.42,0.04,0.08,0.15,0.11,0.08,-0.02
1985,0.07,-0.3,0.0,-0.04,0.09,0.0,-0.08,-0.02,0.02,0.02,0.02,0.16,0.0,-0.05,-0.21,0.02,-0.03,0.02
1986,0.36,0.31,0.26,0.15,0.19,0.14,-0.02,0.04,-0.02,0.09,0.04,0.06,0.13,0.14,0.28,0.2,0.05,0.03
1987,0.25,0.5,0.0,0.07,0.23,0.16,0.25,0.27,0.39,0.22,0.1,0.5,0.25,0.21,0.27,0.1,0.23,0.24
1988,0.59,0.46,0.47,0.44,0.43,0.4,0.42,0.26,0.26,0.23,0.06,0.43,0.37,0.38,0.52,0.45,0.36,0.18
1989,0.08,0.39,0.45,0.32,0.22,0.24,0.32,0.26,0.23,0.25,0.11,0.33,0.27,0.28,0.3,0.33,0.27,0.2
1990,0.47,0.54,1.16,0.71,0.5,0.48,0.33,0.41,0.42,0.48,0.46,0.38,0.53,0.52,0.45,0.79,0.4,0.45
1991,0.59,0.57,0.46,0.56,0.33,0.47,0.43,0.35,0.36,0.29,0.32,0.2,0.41,0.43,0.51,0.45,0.42,0.32
1992,0.61,0.5,0.55,0.16,0.19,0.05,-0.1,-0.07,-0.18,-0.17,-0.09,0.21,0.14,0.14,0.44,0.3,-0.04,-0.15
1993,0.39,0.52,0.39,0.23,0.32,0.22,0.12,0.02,-0.06,0.12,-0.21,0.22,0.19,0.19,0.37,0.31,0.12,-0.05
1994,0.34,-0.05,0.49,0.48,0.39,0.41,0.33,0.32,0.33,0.54,0.5,0.36,0.37,0.36,0.17,0.45,0.36,0.46
1995,0.75,1.19,0.59,0.71,0.42,0.5,0.37,0.54,0.43,0.6,0.57,0.27,0.58,0.59,0.77,0.57,0.47,0.53
1996,0.27,0.54,0.32,0.18,0.35,0.25,0.29,0.18,0.04,0.04,0.35,0.35,0.26,0.26,0.36,0.28,0.24,0.14
1997,0.34,0.6,0.74,0.49,0.43,0.49,0.41,0.48,0.52,0.63,0.59,0.51,0.52,0.51,0.43,0.55,0.46,0.58
1998,0.62,1.04,0.72,0.88,0.66,0.73,0.75,0.72,0.61,0.54,0.49,0.74,0.71,0.69,0.72,0.75,0.73,0.55
1999,0.59,1.0,0.29,0.54,0.36,0.35,0.35,0.3,0.41,0.39,0.53,0.66,0.48,0.49,0.78,0.4,0.33,0.44
2000,0.38,0.89,0.83,0.88,0.54,0.44,0.41,0.47,0.36,0.29,0.2,0.27,0.5,0.53,0.64,0.75,0.44,0.28
2001,0.56,0.46,0.76,0.6,0.69,0.51,0.63,0.68,0.56,0.6,0.97,0.65,0.64,0.61,0.43,0.68,0.61,0.71
2002,1.02,1.14,1.11,0.51,0.52,0.68,0.66,0.55,0.62,0.54,0.79,0.43,0.71,0.73,0.94,0.71,0.63,0.65
2003,0.93,0.57,0.66,0.61,0.72,0.54,0.68,0.86,0.78,0.98,0.66,0.98,0.75,0.7,0.64,0.66,0.69,0.81
2004,0.67,0.91,0.86,0.7,0.52,0.47,0.5,0.55,0.59,0.7,0.98,0.45,0.66,0.7,0.85,0.7,0.51,0.76
2005,0.95,0.72,0.95,0.93,0.77,0.79,0.75,0.69,0.9,0.95,1.06,0.83,0.86,0.82,0.7,0.88,0.74,0.97
2006,0.65,0.96,0.78,0.6,0.76,0.81,0.69,0.69,0.82,0.98,0.94,1.16,0.82,0.79,0.81,0.71,0.73,0.92
2007,1.45,0.9,0.93,1.07,0.71,0.65,0.65,0.73,0.68,0.84,0.82,0.77,0.85,0.88,1.17,0.9,0.67,0.78
2008,0.33,0.59,1.14,0.65,0.61,0.61,0.6,0.58,0.56,0.85,0.97,0.65,0.68,0.69,0.57,0.8,0.6,0.79
2009,0.82,0.7,0.58,0.71,0.65,0.67,0.68,0.72,0.85,0.78,0.85,0.67,0.72,0.72,0.73,0.65,0.69,0.83
2010,0.8,0.95,1.11,1.14,0.94,0.84,0.89,0.86,0.69,0.88,1.21,0.51,0.9,0.91,0.81,1.06,0.86,0.93
2011,0.62,0.55,0.89,0.83,0.66,0.76,0.71,0.71,0.74,0.9,0.65,0.87,0.74,0.71,0.56,0.79,0.73,0.76
2012,0.65,0.57,0.69,1.06,0.96,0.94,0.85,0.76,0.85,0.9,0.96,0.45,0.8,0.84,0.7,0.9,0.85,0.91
2013,0.85,0.78,0.82,0.67,0.77,0.78,0.69,0.74,0.7,0.83,1.13,0.84,0.8,0.77,0.69,0.75,0.74,0.89
2014,0.98,0.71,1.2,1.1,0.9,0.81,0.77,0.91,0.84,0.93,0.82,1.11,0.92,0.9,0.84,1.06,0.83,0.86
2015,1.19,1.2,1.32,1.02,1.05,1.06,0.92,1.01,1.18,1.29,1.37,1.54,1.18,1.14,1.17,1.13,1.0,1.28
2016,1.56,1.93,1.89,1.46,1.12,1.13,1.05,1.13,1.23,1.03,1.11,1.04,1.31,1.35,1.68,1.49,1.1,1.12
2017,1.38,1.51,1.51,1.19,0.93,0.94,0.98,1.02,0.99,1.03,1.21,1.37,1.17,1.14,1.31,1.21,0.98,1.08
2018,1.13,1.23,1.18,0.97,1.01,0.86,0.93,0.9,0.98,1.24,0.97,1.1,1.04,1.07,1.24,1.05,0.9,1.06
2019,1.19,1.13,1.55,1.25,1.02,1.2,1.03,1.11,1.22,1.3,1.19,1.41,1.22,1.19,1.14,1.27,1.12,1.23
2020,1.59,1.69,1.67,1.39,1.27,1.14,1.1,1.12,1.2,1.2,1.57,1.19,1.34,1.36,1.56,1.44,1.12,1.32
2021,1.26,0.95,1.21,1.13,1.05,1.21,1.08,1.03,1.05,1.3,1.3,1.17,1.14,1.15,1.13,1.13,1.11,1.22
2022,1.24,1.16,1.41,1.09,1.03,1.13,1.07,1.17,1.15,1.32,1.1,1.06,1.16,1.17,1.19,1.18,1.13,1.19
2023,1.29,1.28,1.64,1.02,1.13,1.2,1.45,1.57,1.68,1.87,1.97,1.85,1.5,1.43,1.21,1.26,1.4,1.84
2024,1.67,1.92,1.77,1.79,1.44,1.54,1.42,1.43,1.56,1.73,1.88,1.7,1.65,1.67,1.82,1.67,1.46,1.72
2025,1.84,1.63,1.84,1.6,1.22,1.19,1.23,1.29,1.4,1.49,1.68,1.42,1.49,1.51,1.73,1.55,1.24,1.53
2026,1.4,,,,,,,,,,,,,,,,,
